Anatomia Veterinária I;GMV101;34;102;7A;28
Anatomia Veterinária I;GMV101;34;102;7B;30
Citologia e Histologia Geral;GMV102;34;34;16A 17A 23A 23B 23C 2C;120
Citologia e Histologia Geral;GMV102;34;34;23A 23B;60
Citologia e Histologia Geral;GMV102;34;34;2A 2B 7A 7B;120
Citologia e Histologia Geral;GMV102;34;34;7A 7B;60
Citologia e Histologia Geral;GMV102;34;34;16A 17A 23C 2C;60
Citologia e Histologia Geral;GMV102;34;34;2A 2B;60
Embriologia Geral;GMV103;17;34;2A 2B 2C 7A 7B;150
Embriologia Geral;GMV103;17;34;2A;30
Embriologia Geral;GMV103;17;34;12A 12B 20A 23A 23B;150
Embriologia Geral;GMV103;17;34;12A;30
Embriologia Geral;GMV103;17;34;2B;30
Embriologia Geral;GMV103;17;34;20A;30
Embriologia Geral;GMV103;17;34;23A;30
Embriologia Geral;GMV103;17;34;7A;30
Embriologia Geral;GMV103;17;34;7B;30
Embriologia Geral;GMV103;17;34;2C;30
Embriologia Geral;GMV103;17;34;23B;30
Embriologia Geral;GMV103;17;34;12B;30
Anatomia Veterinária II;GMV104;68;68;7A 7B;57
Anatomia Veterinária II;GMV104;68;68;7A;27
Anatomia Veterinária II;GMV104;68;68;7B;30
Histologia Veterinária;GMV105;34;85;7A 7B;57
Educação e Informação;GMV106;68;0;7A;28
Educação e Informação;GMV106;68;0;7B;30
Fisiologia Geral;GMV107;68;0;12A 23A;100
Fisiologia Geral;GMV107;68;0;2A 7A;125
Fisiologia Veterinaria;GMV108;34;51;7A;54
Metabolismo Animal;GMV109;34;34;12A 20A 2A 7A;116
Imunologia Veterinária;GMV110;51;0;7A;50
Patologia Geral Veterinária;GMV111;34;51;7A 7B;54
Patologia Geral Veterinária;GMV111;34;51;7B;27
Patologia Geral Veterinária;GMV111;34;51;7A;27
Farmacologia Veterinária;GMV112;68;51;7A;50
Parasitologia Veterinária;GMV113;51;34;7A 7B;50
Parasitologia Veterinária;GMV113;51;34;7B;25
Parasitologia Veterinária;GMV113;51;34;7A;25
Microbiologia Veterinária;GMV114;51;51;7A 7B;50
Microbiologia Veterinária;GMV114;51;51;7A;25
Microbiologia Veterinária;GMV114;51;51;7B;25
Patologia Especial Veterinária;GMV115;68;68;7B;15
Patologia Especial Veterinária;GMV115;68;68;7A 7B 7C 7D;60
Patologia Especial Veterinária;GMV115;68;68;7C;15
Patologia Especial Veterinária;GMV115;68;68;7A;15
Patologia Especial Veterinária;GMV115;68;68;7D;15
Semiologia;GMV116;34;51;7A 7B 7C 7D;104
Semiologia;GMV116;34;51;7D;29
Semiologia;GMV116;34;51;7A;25
Semiologia;GMV116;34;51;7C;25
Semiologia;GMV116;34;51;7B;25
Diagnóstico por Imagem;GMV117;34;34;7A 7B 7C 7D 7E 7F;108
Diagnóstico por Imagem;GMV117;34;34;7E;18
