Atividade Acadêmica Internacional;PRG005;0;34;5A;1
Atividade Acadêmica Internacional;PRG005;0;34;1A;1
Estágio Supervisionado / Projeto Orientado;PRG101;0;170;1A 1B 1C 1D;160
Estágio Supervisionado / Projeto Orientado;PRG102;204;0;2A;45
Estágio Supervisionado / Projeto Orientado;PRG103;0;170;3A;45
Estágio Supervisionado / Projeto Orientado;PRG105;0;170;5A;45
Estágio Supervisionado;PRG107;68;408;7A;45
Projeto Orientado I;PRG110;34;0;10A;45
Estágio Supervisionado;PRG111;0;170;11A;45
Estágio Supervisionado em Biologia I;PRG112;17;187;12A;45
Estágio Supervisionado I;PRG113;0;102;13A;45
Projeto Orientado I;PRG114;68;0;14A;72
Estágio Supervisionado I;PRG115;0;68;15A;45
Estágio Supervisionado I;PRG116;0;102;16A;45
Estágio Supervisionado I;PRG117;0;102;17A;45
Estágio Supervisionado de Física I;PRG118;0;34;18A;45
Estágio Supervisionado I;PRG120;34;34;20A;45
Estágio Supervisionado II;PRG209;17;204;9A;40
Projeto Orientado II;PRG210;0;272;10A;40
Trabalho de Conclusão de Curso;PRG211;34;34;11A;30
Estágio Supervisionado em Biologia II;PRG212;17;187;12A;40
Estágio Supervisionado II;PRG213;0;102;13A;45
Projeto Orientado II;PRG214;0;340;14A;45
Estágio Supervisionado II;PRG215;0;68;15A;45
Estágio Supervisionado II;PRG216;0;102;16A;45
Estágio Supervisionado II;PRG217;0;102;17A;45
Estágio Supervisionado de Física II;PRG218;0;68;18A;45
Estágio Supervisionado;PRG309;17;323;9A;50
Trabalho de Conclusão de Curso;PRG311;34;0;11A;40
Monografia de Conclusão de Curso;PRG312;34;170;12A;40
Estágio Supervisionado III;PRG313;0;102;13A;45
Trabalho de Conclusão de Curso I;PRG314;68;0;14A;40
Estágio Supervisionado III;PRG315;0;68;15A;45
Estágio Supervisionado III;PRG316;0;102;16A;45
Monografia e Seminário;PRG405;0;34;5A;50
Estágio Supervisionado IV;PRG413;0;102;13A;45
Estágio Supervisionado IV;PRG415;0;68;15A;45
Estágio Supervisionado IV;PRG416;0;102;16A;45
Apresentação de Monografia;PRG513;34;0;13B;40
Apresentação de Monografia;PRG513;34;0;13A;40
Projeto Orientado II;PRG515;0;238;15A;45
Trabalho de Conclusão de Curso I;PRG516;34;34;16A;45
Projeto Orientado;PRG613;0;119;13A;45
Projeto Orientado I;PRG615;34;0;15A;45
Trabalho de Conclusão de Curso II;PRG616;34;51;16A;45
