Recreação e Lazer;GFD101;34;34;16A 17A;80
Formação e Atuação Profissional;GFD102;34;34;16A 17A;80
Anatomia Humana;GFD103;34;34;16A 17A;80
Anatomia Humana;GFD103;34;34;16A;40
Anatomia Humana;GFD103;34;34;23A;60
Anatomia Humana;GFD103;34;34;17A;40
Comportamento Motor I Desenvolvimento Motor;GFD104;34;34;16A 17A;103
Corpo e História;GFD105;34;34;16A 17A;116
Fisiologia do Exercício I;GFD106;34;34;16A 17A;129
Fisiologia do Exercício II;GFD107;34;34;16A 17A;70
Comportamento Motor II Apren e Controle Motor;GFD108;34;34;16A 17A;65
Org Gestão e Marketing em Ed Física e Esporte;GFD109;34;34;16A 17A;78
Psicologia da Educação Física e Esporte;GFD110;34;34;16A 16B 17A;116
Pedagogia em Educação Física e Esporte;GFD111;34;34;16A 17A;78
Biomecânica da Atividade Física;GFD112;34;34;16A 17A;70
Medidas e Avaliação em Educação Física e Esporte;GFD113;34;34;16A 17A;70
Atividade Motora Adaptada I;GFD115;17;17;16A 17A;60
Socorros de Urgência;GFD118;34;34;16A 17A;35
Teoria e Prática do Condicionamento Físico;GFD122;34;34;16A 17A;35
Esportes Coletivos I;GFD123;17;17;16A 17A;65
Esportes Individuais I;GFD124;17;17;16A 17A;80
Metodologia de Pesquisa em Ed Física e Esportes;GFD126;34;34;16A 17A;60
Esportes Individuais II;GFD127;17;17;16A 17A;74
Esportes Coletivos II;GFD129;17;17;16A 17A;85
Educação Física no Ensino Infantil;GFD138;34;34;16A 17A;35
Estudos Epidemiológicos em Ed Física e Esporte;GFD139;34;34;16A 17A;60
Prática Pedagógica I;GFD140;0;34;16A;30
Esportes Coletivos III;GFD157;17;17;16A 17A;60
Esportes Coletivos IV;GFD158;17;17;16A 17A;65
Esportes Individuais III;GFD159;17;17;16A;30
Esportes Individuais III;GFD159;17;17;17A;32
Esportes Individuais IV;GFD160;17;17;17A;37
Esportes Individuais IV;GFD160;17;17;16A;30
Atividade Motora Adaptada;GFD161;34;34;16A;34
Pedagogia em Educação Física e Esporte;GFD162;68;34;16A;20
Biomecânica da Atividade Física;GFD163;68;34;16A;15
Fundamentos da Educação Física Escolar;GFD164;34;34;16A;30
Educação Física no Ensino Infantil;GFD165;51;51;16A;9
Educação Física no Ensino Fundamental I;GFD166;51;51;16A;30
Educação Física no Endino Fundamental II;GFD167;51;51;16A;30
Educação Física no Ensino Médio;GFD168;51;51;16A;30
Seleção e Detecção de Talentos Esportivos;GFD172;17;17;16A 17A;35
Metodologia dos Esportes Coletivos;GFD173;17;17;16A 17A;58
Tópicos Especiais em Biodinâmica;GFD174;17;17;17A;30
Metodologia do Treinamento I;GFD176;34;34;16A 17A;35
Aprofundamento em Esportes Coletivos I;GFD179;34;34;16A 17A;35
Aprofundamento em Esportes Coletivos II;GFD180;34;34;16A 17A;35
Aprofundamento em Esportes Individuais I;GFD181;34;34;16A 17A;35
Aprofundamento em Esportes Individuais II;GFD182;34;34;16A 17A;35
