Introdução à Engenharia Agrícola;GNE101;17;0;3A;26
Desenho Técnico I;GNE102;0;34;19A;25
Desenho Técnico I;GNE102;0;34;2A;30
Desenho Técnico I;GNE102;0;34;5A;25
Desenho Técnico I;GNE102;0;34;19B;25
Desenho Técnico I;GNE102;0;34;2B;30
Desenho Técnico I;GNE102;0;34;5B;25
Desenho Técnico I;GNE102;0;34;2C 5C;25
Desenho Técnico I;GNE102;0;34;1A;28
Desenho Técnico I;GNE102;0;34;22A;25
Desenho Técnico I;GNE102;0;34;1B;28
Desenho Técnico I;GNE102;0;34;1C;28
Desenho Técnico I;GNE102;0;34;3A;28
Desenho Técnico I;GNE102;0;34;1D;28
Desenho Técnico I;GNE102;0;34;22B;25
Topografia / Planimetria;GNE103;34;34;1A 1B 1C 1D 1E;125
Topografia / Planimetria;GNE103;34;34;1C;25
Topografia / Planimetria;GNE103;34;34;1D;25
Topografia / Planimetria;GNE103;34;34;1F 2A 2B 2C 3A 3B;150
Topografia / Planimetria;GNE103;34;34;2A;25
Topografia / Planimetria;GNE103;34;34;1E;25
Topografia / Planimetria;GNE103;34;34;2B;25
Topografia / Planimetria;GNE103;34;34;19A 2D 5A 5B 5C;100
Topografia / Planimetria;GNE103;34;34;2D 5C;25
Topografia / Planimetria;GNE103;34;34;3B;25
Topografia / Planimetria;GNE103;34;34;3A;25
Topografia / Planimetria;GNE103;34;34;1F;25
Topografia / Planimetria;GNE103;34;34;19A;25
Topografia / Planimetria;GNE103;34;34;5A;25
Topografia / Planimetria;GNE103;34;34;1A;25
Topografia / Planimetria;GNE103;34;34;5B;25
Topografia / Planimetria;GNE103;34;34;1B;25
Topografia / Planimetria;GNE103;34;34;2C;25
Extensão;GNE104;17;17;3A;30
Topografia / Altimetria;GNE105;17;17;3A;25
Topografia / Altimetria;GNE105;17;17;5A;25
Topografia / Altimetria;GNE105;17;17;5B;25
Topografia / Altimetria;GNE105;17;17;19A;28
Topografia / Altimetria;GNE105;17;17;1E;25
Topografia / Altimetria;GNE105;17;17;1C;25
Topografia / Altimetria;GNE105;17;17;1A;25
Topografia / Altimetria;GNE105;17;17;1B;25
Topografia / Altimetria;GNE105;17;17;1D;25
Tratores e Motores;GNE106;17;34;3A;30
Mecânica Geral;GNE107;51;0;11A 22A 3A;122
Sensoriamento Remoto;GNE108;17;17;3A;25
Agrometeorologia;GNE109;34;34;3A 5A;60
Agrometeorologia;GNE109;34;34;3A;30
Agrometeorologia;GNE109;34;34;1A 1B;60
Agrometeorologia;GNE109;34;34;1A;30
Agrometeorologia;GNE109;34;34;2A 2B 2C;75
Agrometeorologia;GNE109;34;34;2A;25
Agrometeorologia;GNE109;34;34;2B;25
Agrometeorologia;GNE109;34;34;1C;30
Agrometeorologia;GNE109;34;34;1B;30
Agrometeorologia;GNE109;34;34;1D;30
Agrometeorologia;GNE109;34;34;1C 1D 1E;90
Agrometeorologia;GNE109;34;34;2C;25
Agrometeorologia;GNE109;34;34;5A;30
Agrometeorologia;GNE109;34;34;1E;30
